player,team,matches,runs,balls,avg,sr,fours,sixes,fifties,hundreds
Sahibzada Farhan,PAK,6,383,239,76.6,160.25,37,18,2,2
Brian Bennett,ZIM,6,292,217,146.0,134.56,32,7,3,0
Finn Allen,NZ,7,289,142,57.8,203.52,24,20,0,1
Aiden Markram,SA,8,286,172,47.67,165.32,32,11,3,0
Jacob Bethell,ENG,8,280,184,35.0,152.17,25,14,0,1
Tim Seifert,NZ,7,274,169,45.67,161.18,32,11,3,0
Ishan Kishan,IND,8,263,138,32.88,189.21,29,14,2,0
Shimron Hetmyer,WI,7,248,132,41.33,186.47,16,19,2,0
Suryakumar Yadav,IND,8,242,176,34.57,137.5,21,10,1,0
Harry Brook,ENG,8,235,147,29.38,159.86,21,9,0,1
Sanju Samson,IND,4,232,114,77.33,201.74,22,16,2,0
Ryan Rickelton,SA,8,228,133,32.57,170.15,17,15,1,0
