player,team,matches,wickets,overs,runs_conceded,avg,econ,sr,best
Shadley van Schalkwyk,USA,4,13,14.5,101,7.77,6.81,6.85,4/25
Blessing Muzarabani,ZIM,6,13,23.5,188,14.46,7.89,11.0,4/17
Adil Rashid,ENG,8,13,30.4,250,19.23,8.15,14.15,3/19
Varun Chakaravarthy,IND,8,13,28.0,248,19.08,8.86,12.92,3/24
Lungi Ngidi,SA,7,12,26.0,187,15.58,7.19,13.0,4/28
Marco Jansen,SA,6,11,22.4,237,21.55,10.45,12.36,4/22
Rachin Ravindra,NZ,7,11,17.0,117,10.64,6.88,9.27,4/20
Maheesh Theekshana,SL,7,11,27.3,204,18.55,7.42,15.0,3/18
Corbin Bosch,SA,7,11,25.0,191,17.36,7.64,13.64,3/21
Jofra Archer,ENG,8,11,30.0,286,26.0,9.53,16.36,3/25
